member,lead,trust,err
gru,48,1.5,136.83067441242656
transformer,48,1.5,199.7826935244309
cliper,48,0.5,105.1430279518807
cons_aiwp,48,1.0,124.15290416908584
pangu,24,1.0,153.96901948378033
fengwu,24,0.5,467.88546620269057
gru,24,1.0,174.37579479188688
transformer,24,1.0,260.76095287712286
cliper,24,1.0,150.7858266513317
cons_aiwp,24,1.2,297.7192663892403
pangu,24,1.0,57.11934789863069
fengwu,24,1.0,57.11934789863069
gru,24,0.25,15.333473896379372
transformer,24,0.25,16.094976863957704
cliper,24,1.0,9.888726372725392
cons_aiwp,24,1.0,57.11934789863069
pangu,24,1.0,69.61347187223812
fengwu,24,1.0,57.49364790434953
gru,24,0.5,229.39533278429704
transformer,24,0.5,229.3491527397082
cliper,24,1.0,201.2789044788582
cons_aiwp,24,1.0,61.15768102529037
pangu,48,1.0,33.15591482427297
fengwu,48,1.0,33.15591482427297
gru,48,0.5,452.4172243723735
transformer,48,0.5,428.4382714170238
cliper,48,1.0,386.3505120936333
cons_aiwp,48,1.0,33.15591482427297
pangu,72,1.0,120.64226250080505
fengwu,72,1.0,196.45088899038532
gru,72,0.5,743.825300222315
transformer,72,0.5,660.9495956502902
cliper,72,1.0,618.0587491719208
cons_aiwp,72,1.0,158.53075147738886
pangu,24,0.5,15.72254221780808
fengwu,24,0.5,15.72254221780808
gru,24,1.0,36.704557976424994
transformer,24,1.0,65.64163592422523
cliper,24,1.0,41.759957700226465
cons_aiwp,24,0.5,15.72254221780808
pangu,48,0.5,104.78091291606059
fengwu,48,0.5,115.13046459601892
gru,48,1.0,206.50735975477838
transformer,48,1.0,225.69006212138117
cliper,48,1.0,124.92573838445878
cons_aiwp,48,0.5,109.52382329814633
pangu,72,0.5,205.35081986619522
fengwu,72,0.5,186.54230528208333
gru,72,1.0,400.19514021522406
transformer,72,1.0,385.47222506308736
cliper,72,1.0,263.4416411601304
cons_aiwp,72,0.5,195.95094323795016
gru,24,1.0,54.19619974569533
transformer,24,1.0,89.85695874135683
cliper,24,0.75,75.06003514949083
pangu,24,1.0,35.173567201884765
fengwu,24,1.0,59.172987158066036
gru,24,1.2,253.79984148704185
transformer,24,1.2,272.99880658820194
cliper,24,1.0,144.6962786630105
cons_aiwp,24,0.8,47.41701463146983
pangu,48,1.0,125.41292652967384
fengwu,48,1.0,93.77841517434061
gru,48,1.0,564.8538083539237
transformer,48,1.0,580.3182460477963
cliper,48,1.0,333.83607887517184
cons_aiwp,48,0.8,106.72255669981483
pangu,24,1.0,34.343189777775436
fengwu,24,1.0,44.971664052135225
gru,24,0.5,182.7886649732224
transformer,24,0.5,197.90054277747802
cliper,24,1.0,105.7536907202129
cons_aiwp,24,1.0,38.133246014646645
pangu,24,1.0,90.52368534830995
fengwu,24,1.0,8.682586733624401
gru,24,0.5,51.731842112706154
transformer,24,0.5,66.18802766456241
cliper,24,1.0,109.72530483081033
cons_aiwp,24,1.0,48.884011972426435
pangu,48,1.0,119.78899234993658
fengwu,48,1.0,32.45719047998601
gru,48,0.5,85.23630455336875
transformer,48,0.5,146.9942395075041
cliper,48,1.0,201.7476783850597
cons_aiwp,48,1.0,67.54244116853175
pangu,72,1.0,285.9584868172
fengwu,72,1.0,509.2847850852719
gru,72,0.5,349.8733724253822
transformer,72,0.5,454.4981915637049
cliper,72,1.0,475.0547168206372
cons_aiwp,72,1.0,345.4504152064636
pangu,24,1.0,59.91360409887894
fengwu,24,1.0,22.393898507040163
gru,24,0.5,184.0994683614277
transformer,24,0.5,206.80589575648872
cliper,24,0.5,211.90387549231298
cons_aiwp,24,1.0,19.258813039001208
pangu,48,1.0,105.73167731417591
fengwu,48,1.0,215.0979148930413
gru,48,0.5,429.45433113746066
transformer,48,0.5,448.2324024989879
cliper,48,0.5,460.84906908907556
cons_aiwp,48,1.0,152.77682854759666
pangu,72,1.0,121.19772318162009
fengwu,72,1.0,168.41929992986647
gru,72,0.5,613.6075736056061
transformer,72,0.5,588.2859186502542
cliper,72,0.5,645.7341029872204
cons_aiwp,72,1.0,134.7216568299776
pangu,24,1.0,56.547601689457515
fengwu,24,1.0,50.11242264071061
gru,24,0.5,129.50464916290713
transformer,24,0.5,142.49782962028195
cliper,24,0.5,74.29223483460086
cons_aiwp,24,1.0,44.18969158294045
pangu,48,1.0,141.11237583948596
fengwu,48,1.0,59.91360409887894
gru,48,0.5,320.2819160725103
transformer,48,0.5,374.4552913169177
cliper,48,0.5,229.94318080318072
cons_aiwp,48,1.0,101.02439348098508
pangu,72,1.0,111.62958453261498
fengwu,72,1.0,1869.2336711636071
gru,72,0.5,519.6956975271876
transformer,72,0.5,567.4930056372617
cliper,72,0.5,351.6664984656997
cons_aiwp,72,1.0,977.1591488495409
pangu,24,1.0,33.23931682106875
fengwu,24,1.0,49.631244917006576
gru,24,0.25,269.61654302863
transformer,24,0.25,281.6975755025006
cliper,24,0.25,350.96941153195473
cons_aiwp,24,1.0,40.51783882926833
pangu,48,1.0,256.04571984768086
fengwu,48,1.0,256.04571984768086
gru,48,0.25,659.6266210354128
transformer,48,0.25,712.4970845061
cliper,48,0.25,770.665267726519
cons_aiwp,48,1.0,256.04571984768086
pangu,72,1.0,1504.3468529170116
fengwu,72,1.0,1388.5693877795334
gru,72,0.25,1350.0513881160475
transformer,72,0.25,1434.128106673912
cliper,72,0.25,1524.5384945328242
cons_aiwp,72,1.0,1446.4187462176349
gru,24,0.75,627.9057692928258
transformer,24,0.75,579.4952250162447
cliper,24,1.25,541.8891539310607
pangu,24,1.0,40.281331875097585
fengwu,24,1.0,105.96432744812071
gru,24,1.0,378.6097524859511
transformer,24,1.0,335.2836855698421
cliper,24,1.0,412.36881003965283
cons_aiwp,24,1.0,67.96644851360594
pangu,48,1.0,1174.6975215431728
fengwu,48,1.0,678.1661173922365
gru,48,1.0,1164.6308378631222
transformer,48,1.0,1084.0079449761245
cliper,48,1.0,1337.7849151119913
cons_aiwp,48,1.0,875.2596712982374
pangu,24,1.0,27.286927516081153
fengwu,24,1.0,88.35378866224133
gru,24,0.5,110.37754051963437
transformer,24,0.5,131.35736536999835
cliper,24,0.5,40.10593021865379
cons_aiwp,24,1.0,48.3411554155529
pangu,48,1.0,96.41107433406006
fengwu,48,1.0,405.04106286073323
gru,48,0.5,451.13256480737874
transformer,48,0.5,514.8024553987163
cliper,48,0.5,280.48063125380713
cons_aiwp,48,1.0,246.37517227684543
pangu,72,1.0,76.45031362297632
fengwu,72,1.0,195.69130712727332
gru,72,0.5,629.3920417380533
transformer,72,0.5,693.632344082773
cliper,72,0.5,359.431216759774
cons_aiwp,72,1.0,121.89850116270979
pangu,24,1.0,646.2154624677298
fengwu,24,1.0,440.62160706360277
gru,24,1.2,210.1987435296583
transformer,24,1.2,239.4514634245394
cliper,24,0.5,230.17982290331202
cons_aiwp,24,1.0,329.88861524717856
pangu,24,1.2,38.61624357859234
fengwu,24,1.0,27.798731661139723
gru,24,0.7,71.29035186509991
transformer,24,0.7,46.73536751956805
cliper,24,0.7,73.0526028296667
cons_aiwp,24,1.2,30.631669476308517
pangu,48,1.2,111.91949998673084
fengwu,48,1.0,136.10622337429308
gru,48,0.7,157.6315671657258
transformer,48,0.7,109.04459665760038
cliper,48,0.7,186.95487719888445
cons_aiwp,48,1.2,108.98737175941258
pangu,72,1.2,113.98122269002518
fengwu,72,1.0,235.35745065453844
gru,72,0.7,83.23292309632278
transformer,72,0.7,10.735449365943722
cliper,72,0.7,148.03408155052418
cons_aiwp,72,1.2,148.1002169503657
pangu,24,0.5,22.878799698372013
fengwu,24,1.0,53.224047807744334
gru,24,2.0,65.6800594526152
transformer,24,2.0,70.73018336485161
cliper,24,1.5,107.65732968111385
cons_aiwp,24,0.5,30.926437787897036
pangu,48,0.5,61.7001143224077
fengwu,48,1.0,60.32910671663665
gru,48,1.5,132.6578268342688
transformer,48,1.5,130.70109627783592
cliper,48,1.5,196.86972705105669
cons_aiwp,48,0.5,44.16368167513425
pangu,72,0.5,80.4672293561819
fengwu,72,1.0,142.99466800216658
gru,72,1.0,234.6128671566358
transformer,72,1.0,226.40945309156805
cliper,72,1.0,295.1868013376328
cons_aiwp,72,0.5,34.805975451718545
pangu,24,1.0,86.23029815606286
fengwu,24,1.0,55.866823800659674
gru,24,0.5,102.77159667566134
transformer,24,0.5,124.77315761634841
cliper,24,0.5,89.33707763515092
cons_aiwp,24,1.0,69.49626137421077
pangu,48,1.0,78.85767570918058
fengwu,48,1.0,63.342604847775775
gru,48,0.5,294.468777270781
transformer,48,0.5,302.8724066879312
cliper,48,0.5,342.62673816725544
cons_aiwp,48,1.0,64.14990952867973
pangu,24,1.0,132.54470965351715
fengwu,24,1.0,177.33712535233167
gru,24,0.5,74.87529085307729
transformer,24,0.5,62.639178605136344
cliper,24,0.25,265.2880015899812
cons_aiwp,24,1.0,154.0634943945343
pangu,48,1.0,935.9541428823065
fengwu,48,1.0,966.7607202827791
gru,48,0.5,497.99226676494914
transformer,48,0.5,548.2937767410414
cliper,48,0.25,974.6272211797935
cons_aiwp,48,1.0,809.69678086235
pangu,24,1.2,42.512703081068175
fengwu,24,1.2,83.56872106278469
gru,24,0.5,55.96703958898758
transformer,24,0.5,59.730819049256134
cliper,24,1.0,61.820730704523825
cons_aiwp,24,1.0,58.85543965425973
pangu,48,1.2,158.37210728736926
fengwu,48,1.2,174.42079073365738
gru,48,0.5,86.61797313432875
transformer,48,0.5,112.12454941275085
cliper,48,1.0,96.6278997964488
cons_aiwp,48,1.0,150.1701705899481
pangu,72,1.2,132.28876395802905
fengwu,72,1.2,238.7083121863964
gru,72,0.5,243.2574554817849
transformer,72,0.5,253.60141969924183
cliper,72,1.0,224.21366393944277
cons_aiwp,72,1.0,105.7161293750255
pangu,24,1.0,19.765812359490823
fengwu,24,1.0,23.345273607969087
gru,24,0.5,126.03231466985734
transformer,24,0.5,140.0751454965334
cliper,24,1.0,167.40595413051352
cons_aiwp,24,1.0,16.488645788834926
pangu,48,1.0,137.56813246837035
fengwu,48,0.8,249.68296222597743
gru,48,0.5,301.58053969061126
transformer,48,0.5,323.5103700238164
cliper,48,1.0,359.0868481881475
cons_aiwp,48,1.0,193.28917621356467
pangu,72,1.0,672.2670106997937
fengwu,72,0.5,3013.1018306205165
gru,72,0.5,486.87620729584285
transformer,72,0.5,508.64380675706053
cliper,72,1.0,553.3675645748082
cons_aiwp,72,1.0,1749.5804672487934
pangu,24,1.2,10.933295685861822
fengwu,24,1.2,29.873104069966576
gru,24,0.5,154.83634714024086
transformer,24,0.5,172.63800422000358
cliper,24,0.5,167.9762976094967
cons_aiwp,24,1.0,17.25193523838334
pangu,48,1.2,132.81239450685925
fengwu,48,1.2,93.73374641587995
gru,48,0.5,327.5540694707564
transformer,48,0.5,325.70200145144156
cliper,48,0.5,289.45901636223834
cons_aiwp,48,1.0,112.48985940659784
pangu,72,1.2,165.66617475771594
fengwu,72,1.2,105.65425331298337
gru,72,0.5,496.43145268743194
transformer,72,0.5,450.699673489555
cliper,72,0.5,469.84867386766103
cons_aiwp,72,1.0,132.1960630054207
pangu,24,1.0,27.61263989405123
fengwu,24,1.0,27.61263989405123
gru,24,0.5,64.2257725777917
transformer,24,0.5,78.92666658464468
cliper,24,0.5,71.37296169638135
cons_aiwp,24,1.0,27.61263989405123
pangu,48,1.0,121.02374056376311
fengwu,48,1.0,86.23029815606286
gru,48,0.5,269.6036573764453
transformer,48,0.5,275.1409537281238
cliper,48,0.5,244.6288386180292
cons_aiwp,48,1.0,89.64701896695797
pangu,72,1.0,173.1064232363493
fengwu,72,1.0,62.137986080105364
gru,72,0.5,467.9594345230827
transformer,72,0.5,472.21537416575535
cliper,72,0.5,467.498136688866
cons_aiwp,72,1.0,109.49021028760518
pangu,24,1.0,17.027100396652024
fengwu,24,1.0,35.03950193763523
gru,24,0.5,26.627044859893754
transformer,24,1.0,38.13944465980278
cliper,24,0.5,85.87677191792702
cons_aiwp,24,1.0,20.129716664016044
pangu,48,1.0,65.12783909554383
fengwu,48,1.0,55.68240303327624
gru,48,0.5,80.51633096219108
transformer,48,1.0,65.1631680468718
cliper,48,0.5,114.40257557066018
cons_aiwp,48,1.0,5.35754086570867
pangu,72,1.0,146.92497703094827
fengwu,72,1.0,177.54540335690572
gru,72,0.5,92.1878315430313
transformer,72,1.0,103.09283000313668
cliper,72,0.5,154.73869195254022
cons_aiwp,72,1.0,88.95594131564711
pangu,24,1.0,900.8163324444498
fengwu,24,1.0,521.2887597413783
gru,24,0.5,333.47883231219674
transformer,24,0.5,364.5612557417179
cliper,24,0.5,452.82009174171617
cons_aiwp,24,1.0,711.517309631516
pangu,24,1.0,27.513954265233455
fengwu,24,1.0,34.94965621078594
gru,24,1.5,168.49444434106985
transformer,24,1.5,142.31604294823018
cliper,24,1.0,257.6669922601989
cons_aiwp,24,1.0,28.384065561472156
pangu,48,1.0,43.27550065972112
fengwu,48,1.0,35.03950193763523
gru,48,1.5,315.5951059281311
transformer,48,1.5,279.3324008968375
cliper,48,1.0,483.0313097038558
cons_aiwp,48,1.0,25.679847642224406
pangu,72,1.0,141.95950106328766
fengwu,72,1.0,55.68240303327624
gru,72,1.5,479.33950123620804
transformer,72,1.5,421.52208483900824
cliper,72,1.0,672.1106918300554
cons_aiwp,72,1.0,45.0033361780128
pangu,24,1.0,31.281854978699627
fengwu,24,1.0,51.76508220101703
gru,24,0.5,228.90986334753987
transformer,24,0.5,202.66694246728764
cliper,24,0.5,249.66598368869728
cons_aiwp,24,1.0,40.86842698871213
pangu,24,0.5,172.67612218282352
fengwu,24,1.0,1014.4532406082385
gru,24,1.5,340.3865758105869
transformer,24,1.0,332.30923574623336
cliper,24,1.5,302.49528528406177
cons_aiwp,24,0.5,587.8918530219267
pangu,24,1.0,839.0444613195104
fengwu,24,1.0,39.297885304898635
gru,24,0.5,154.50253586382112
transformer,24,0.5,122.51817171125816
cliper,24,1.0,133.6909674442824
cons_aiwp,24,1.0,425.1021153121653
pangu,48,1.0,1206.602808041205
fengwu,48,1.0,1275.2867874200333
gru,48,0.5,179.7379344855736
transformer,48,0.5,67.83482403807436
cliper,48,1.0,313.994548398088
cons_aiwp,48,1.0,1237.99096596194
pangu,72,1.0,1939.4300594392175
fengwu,72,1.0,2196.409217741526
gru,72,0.5,341.68721198213933
transformer,72,0.5,514.6295294117907
cliper,72,1.0,663.4431126873427
cons_aiwp,72,1.0,2065.3126927620424
pangu,24,1.0,30.26645342407386
fengwu,24,1.0,48.00872351285455
gru,24,1.2,257.45515227562254
transformer,24,1.2,249.96583785013104
cliper,24,1.2,204.712258641852
cons_aiwp,24,1.0,37.27989103241006
pangu,48,1.0,951.7131198894944
fengwu,48,1.0,908.7596863160153
gru,48,1.2,616.640321324016
transformer,48,1.2,595.9090058326027
cliper,48,1.2,556.8517874666262
cons_aiwp,48,1.0,892.5522270694968
pangu,72,1.0,1145.3898628416375
fengwu,72,1.0,1997.6084467278174
gru,72,1.2,1143.276095920642
transformer,72,1.2,1078.6447979913146
cliper,72,1.2,1047.1640745151249
cons_aiwp,72,1.0,1505.1215301698605
pangu,24,1.0,19.22652570867682
fengwu,24,1.0,37.397982270033246
gru,24,1.0,36.61351286871736
transformer,24,1.0,76.63611788307557
cliper,24,1.0,78.36476435909766
cons_aiwp,24,1.0,26.84910284193938
pangu,48,1.0,1006.843005329463
fengwu,48,1.0,553.9671589370347
gru,48,0.75,192.09620387549992
transformer,48,0.75,342.83873645023033
cliper,48,0.75,130.21137256994575
cons_aiwp,48,1.0,771.3917264639948
pangu,72,1.0,1408.8583107997827
fengwu,72,1.0,1181.8644820086763
gru,72,0.75,569.0441982338929
transformer,72,0.75,735.4004097483602
cliper,72,0.75,555.4239406425158
cons_aiwp,72,1.0,1266.2213260716464
pangu,24,1.0,721.2219868009615
fengwu,24,1.2,1938.04172249352
gru,24,0.5,106.83025873620586
transformer,24,1.0,158.56488992549134
cliper,24,0.5,158.02122647815784
cons_aiwp,24,1.2,1327.6375794012913
pangu,24,1.0,13.647871973877766
fengwu,24,1.0,33.36710040345172
gru,24,0.5,192.73255899190457
transformer,24,0.5,134.23847788333117
cliper,24,0.5,147.05692781762392
cons_aiwp,24,1.0,20.9377396085967
pangu,48,1.0,18.45577103621889
fengwu,48,1.0,13.643804639806316
gru,48,0.5,496.64999889199566
transformer,48,0.5,411.527568689993
cliper,48,0.5,384.1417628307828
cons_aiwp,48,1.0,8.210483509829203
pangu,72,1.0,128.62816438027923
fengwu,72,1.0,57.086694898460834
gru,72,0.5,654.0648497613179
transformer,72,0.5,573.8749234937249
cliper,72,0.5,471.98766607527574
cons_aiwp,72,1.0,91.99268256114996
pangu,24,1.0,78.51338375066469
fengwu,24,1.0,17.447569024049493
gru,24,0.5,95.93577251963485
transformer,24,0.5,105.81517604265119
cliper,24,1.5,90.12064392097774
cons_aiwp,24,1.0,48.14020381825387
pangu,48,1.0,145.3496138469902
fengwu,48,1.0,28.438156827334062
gru,48,0.5,313.34926253606767
transformer,48,0.5,317.50282946270033
cliper,48,1.5,274.60760958152855
cons_aiwp,48,1.0,74.84375161031818
pangu,72,1.0,245.11402682192931
fengwu,72,1.0,191.84346470857753
gru,72,0.5,894.8163150654943
transformer,72,0.5,923.2372112739394
cliper,72,1.5,831.1910074901114
cons_aiwp,72,1.0,57.989640907678854
pangu,24,1.0,517.1313507481087
fengwu,24,0.5,2251.4904508123836
gru,24,0.75,103.34292859401306
transformer,24,1.0,68.1871430231258
cliper,24,1.0,97.29579334068112
cons_aiwp,24,1.0,1381.9137781913369
pangu,24,1.0,19.62176208942924
fengwu,24,1.0,24.196441490429716
gru,24,0.5,287.15601844785783
transformer,24,0.5,224.91440913604433
cliper,24,0.5,179.53778177838828
cons_aiwp,24,1.0,12.23273585049642
pangu,48,1.0,58.767894868207534
fengwu,48,1.0,24.184276813421583
gru,48,0.5,641.5238193134951
transformer,48,0.5,475.73080530767464
cliper,48,0.5,450.4305322559726
cons_aiwp,48,1.0,35.19847558979799
pangu,72,1.0,136.55830490044815
fengwu,72,1.0,38.33486957729814
gru,72,0.5,1450.0915224035098
transformer,72,0.5,1249.84596773158
cliper,72,0.5,1227.6210131034666
cons_aiwp,72,1.0,80.5654300698008
pangu,24,1.0,64.15027777505466
fengwu,24,1.0,36.514810535250234
gru,24,0.5,106.7459845960259
transformer,24,0.5,120.55490698020813
cliper,24,0.5,186.2631648194475
cons_aiwp,24,1.0,49.7571402839002
pangu,48,1.0,139.64497189373344
fengwu,48,1.0,54.041486850800716
gru,48,0.5,57.82136185517048
transformer,48,0.5,129.40066653007372
cliper,48,0.5,285.34818034603603
cons_aiwp,48,1.0,95.77251881087261
pangu,72,1.0,278.46187175177
fengwu,72,1.0,48.492687247926575
gru,72,0.5,86.47377197797981
transformer,72,0.5,86.9958400862919
cliper,72,0.5,249.71744870587136
cons_aiwp,72,1.0,162.87408106620808
pangu,24,1.0,12.976175549645285
fengwu,24,1.0,12.97617554964793
gru,24,1.2,89.62811034541478
transformer,24,1.2,136.64498430816897
cliper,24,1.2,86.26486858516742
cons_aiwp,24,1.0,0.5190470351845768
pangu,48,1.0,104.94374442930189
fengwu,48,1.0,79.978060472245
gru,48,1.1,166.92928814923872
transformer,48,1.1,240.8747015623505
cliper,48,1.1,231.67021875288484
cons_aiwp,48,1.0,88.43616247351704
pangu,72,1.0,111.93166437157235
fengwu,72,1.0,86.28601078956405
gru,72,1.0,442.8457257720016
transformer,72,1.0,497.14184743173524
cliper,72,1.0,537.3677071339532
cons_aiwp,72,1.0,99.47750508889581
pangu,24,1.2,28.491901959253504
fengwu,24,1.2,113.04897857634414
gru,24,0.5,318.8445180216239
transformer,24,0.5,252.98668022879835
cliper,24,0.5,339.2699437528416
cons_aiwp,24,1.2,70.15048089393258
pangu,24,0.8,81.55564161199057
fengwu,24,0.8,53.85076023466739
gru,24,0.5,366.65714410236046
transformer,24,0.5,355.83615303132495
cliper,24,0.5,406.33084665179865
cons_aiwp,24,0.8,67.13942170186053
pangu,48,0.8,67.29331887309097
fengwu,48,0.8,56.11319405378599
gru,48,0.5,1003.0649126071689
transformer,48,0.5,971.9055624421022
cliper,48,0.5,1118.7294475352278
cons_aiwp,48,0.8,60.15037978023182
pangu,24,1.0,60.46162584607899
fengwu,24,1.0,24.184276813421583
gru,24,0.5,193.76272251013754
transformer,24,0.5,198.2070074818779
cliper,24,0.75,152.96556399769722
cons_aiwp,24,1.0,42.4216717448462
pangu,48,1.0,56.855460943745854
fengwu,48,1.0,113.04897857634414
gru,48,0.5,487.799556588744
transformer,48,0.5,531.9407183222161
cliper,48,0.75,715.1160718838984
cons_aiwp,48,1.0,54.33764348949049
pangu,24,1.0,28.414242206715024
fengwu,24,1.0,51.52994817616366
gru,24,0.5,93.74806045027022
transformer,24,0.5,97.5505586498395
cliper,24,0.5,72.19287977696168
cons_aiwp,24,1.0,36.701948690964926
pangu,48,1.0,31.230487187684556
fengwu,48,1.0,38.44875340641601
gru,48,0.5,415.0338859181449
transformer,48,0.5,455.8886542056942
cliper,48,0.5,424.0009758064969
cons_aiwp,48,1.0,26.34434788075308
pangu,72,1.0,94.8894633911616
fengwu,72,1.0,173.50575687227828
gru,72,0.5,845.4311174645529
transformer,72,0.5,934.2322832783603
cliper,72,0.5,1061.8688068535714
cons_aiwp,72,1.0,110.25127922204318
pangu,24,1.0,51.15482519059915
fengwu,24,1.0,27.37260184035201
gru,24,1.0,52.1732562874091
transformer,24,1.0,10.504491621119772
cliper,24,1.0,76.6647727187651
cons_aiwp,24,1.0,35.64590286566548
pangu,48,1.0,133.46403334866272
fengwu,48,1.0,95.96794657358697
gru,48,1.0,312.9345377297259
transformer,48,1.0,235.97901519830936
cliper,48,1.0,229.59411018290558
cons_aiwp,48,1.0,115.40372888106984
pangu,72,1.0,186.62748356043213
fengwu,72,1.0,1296.825162560989
gru,72,1.0,542.6795277983225
transformer,72,1.0,460.4824855047361
cliper,72,1.0,502.79501076259646
cons_aiwp,72,1.0,741.8582222280544
pangu,24,1.0,40.75233653564053
fengwu,24,1.0,23.068071269487312
gru,24,0.5,136.2856125376106
transformer,24,0.5,132.57062583091115
cliper,24,0.5,147.55220972659458
cons_aiwp,24,1.0,19.775205418299052
pangu,48,1.0,15.28322081924813
fengwu,48,1.0,40.30374206919708
gru,48,0.5,424.39827870486994
transformer,48,0.5,412.5978688669245
cliper,48,0.5,451.01183726287314
cons_aiwp,48,1.0,26.613621465653438
pangu,72,1.0,379.37038988852527
fengwu,72,1.0,1583.307315422864
gru,72,0.5,567.1548601761853
transformer,72,0.5,566.2635294747724
cliper,72,0.5,556.7353732037482
cons_aiwp,72,1.0,974.7859547339351
pangu,24,1.0,79.8719256188965
fengwu,24,1.0,42.11665273848769
gru,24,0.5,133.08386486836318
transformer,24,0.5,125.34510968320615
cliper,24,1.0,107.37921912897373
cons_aiwp,24,1.0,60.88491841662672
pangu,48,1.0,418.3459640848037
fengwu,48,1.0,2608.3369619124287
gru,48,0.5,234.06982363303658
transformer,48,0.5,241.92579700398687
cliper,48,1.0,239.98469281907566
cons_aiwp,48,1.0,1517.0771038665223
pangu,24,0.75,15.28322081924813
fengwu,24,0.75,41.971370196091236
gru,24,1.25,192.13119014917467
transformer,24,1.25,178.25417533629792
cliper,24,1.25,221.10666449876135
cons_aiwp,24,0.75,24.55253089566841
pangu,48,0.75,375.02981603918477
fengwu,48,0.75,1583.307315422864
gru,48,1.25,245.58690924912975
transformer,48,1.25,228.09822526188177
cliper,48,1.25,295.33892612954463
cons_aiwp,48,0.75,983.5307797583156
pangu,72,0.75,1225.0260265304937
fengwu,72,0.75,2038.807760190819
gru,72,1.25,430.6308122591317
transformer,72,1.25,419.4631129186389
cliper,72,1.25,492.1910107191251
cons_aiwp,72,0.75,1631.97548669813
gru,24,1.0,380.040062174596
transformer,24,1.0,325.2565264247639
cliper,24,1.0,349.59348175244565
gru,48,1.0,879.4656631390652
transformer,48,1.0,847.5043536468484
cliper,48,1.0,736.4542448890601
gru,72,1.0,1369.0895864621993
transformer,72,1.0,1313.9578137137582
cliper,72,1.0,1074.7849288533714
pangu,24,1.0,45.15870380394255
fengwu,24,0.25,2615.614991503524
gru,24,1.0,179.5910697349629
transformer,24,1.0,197.83789606738878
cliper,24,1.0,289.9985133545473
cons_aiwp,24,0.25,1298.8503268399916
pangu,24,1.0,157.4252811920557
fengwu,24,0.25,63.1217767149335
gru,24,0.25,92.09253409537166
transformer,24,0.25,97.11729078246222
cliper,24,1.25,168.0119580374099
cons_aiwp,24,0.25,104.82878991698406
pangu,48,1.0,543.400081106881
fengwu,48,0.25,610.5839957615252
gru,48,0.25,114.22441193202539
transformer,48,0.25,139.22472427713754
cliper,48,1.0,298.0597569458441
cons_aiwp,48,0.25,577.3189967373178
pangu,72,1.0,1008.8317744658129
fengwu,72,0.25,6122.841155311685
gru,72,0.25,284.5392280767596
transformer,72,0.25,331.01567287067826
cliper,72,1.0,539.3765870389793
cons_aiwp,72,0.25,3610.8727170206816
pangu,24,0.5,81.57783679343201
fengwu,24,0.5,62.54827453799395
gru,24,1.2,123.44335675449145
transformer,24,1.2,130.4241898165485
cliper,24,1.2,162.2190706379674
cons_aiwp,24,0.5,70.58229544536789
pangu,24,1.0,34.92101638075545
fengwu,24,1.0,55.84762308003902
gru,24,0.5,177.6993657149761
transformer,24,0.5,169.67151344696103
cliper,24,0.5,165.0906739443493
cons_aiwp,24,1.0,43.09090994252758
pangu,48,1.0,145.39128783737317
fengwu,48,1.0,1149.7995604717266
gru,48,0.5,355.4148169215064
transformer,48,0.5,346.4980979792069
cliper,48,0.5,329.9858841863904
cons_aiwp,48,1.0,642.2314992662575
pangu,72,1.0,632.3526474229635
fengwu,72,1.0,1740.5035173349104
gru,72,0.5,537.2431401912892
transformer,72,0.5,538.969659035899
cliper,72,0.5,473.0555117739312
cons_aiwp,72,1.0,1188.5333951329824
pangu,24,1.0,435.61387594063115
fengwu,24,1.0,94.65747417810235
gru,24,0.75,81.93679955113572
transformer,24,0.75,73.01614645969258
cliper,24,0.75,176.6568223451683
cons_aiwp,24,1.0,258.7105759228996
pangu,48,1.0,1225.0260265304937
fengwu,48,1.0,399.5692483127528
gru,48,0.75,184.67356110942876
transformer,48,0.75,137.8085504738858
cliper,48,0.75,269.08479133409753
cons_aiwp,48,1.0,813.4108470469992
pangu,24,0.5,96.94813273638579
fengwu,24,0.5,12.106428796647986
gru,24,1.5,219.13373101491018
transformer,24,1.5,208.2681025163791
cliper,24,1.2,148.12341232977778
cons_aiwp,24,0.5,43.37496682326806
pangu,48,0.5,759.5121890125215
fengwu,48,0.5,73.04691183605487
gru,48,1.5,497.502336120803
transformer,48,1.5,495.4372143153883
cliper,48,1.2,508.08618782297674
cons_aiwp,48,0.5,348.15075515635175
pangu,72,0.5,1935.1441157848267
fengwu,72,0.5,326.582579115589
gru,72,1.5,415.14029481528166
transformer,72,1.5,445.4653525488703
cliper,72,1.2,588.9773521239294
cons_aiwp,72,0.5,1028.944914651832
pangu,24,0.5,35.23973763936349
fengwu,24,1.0,65.72752328136885
gru,24,0.5,184.9258452571841
transformer,24,1.5,175.15910991529827
cliper,24,1.5,127.69810001655885
cons_aiwp,24,0.5,33.95166981984086
pangu,48,0.5,84.19451233265816
fengwu,48,1.0,86.83204106533188
gru,48,0.5,550.4240514592688
transformer,48,1.5,556.5589084080963
cliper,48,1.5,489.0152691051873
cons_aiwp,48,0.5,12.330683949463111
pangu,72,0.5,243.34487227922034
fengwu,72,1.0,228.48087316709723
gru,72,0.5,545.8572913166022
transformer,72,1.5,578.5715070291529
cliper,72,1.5,593.6114957435502
cons_aiwp,72,0.5,200.8408849050039
gru,24,0.5,276.1287982028859
transformer,24,0.5,265.2270811913106
cliper,24,0.5,215.71040001657008
gru,48,0.5,202.10323980844257
